,alpha,delta,beta,gamma,state,channel,subject
74,0.0333334581691545,0.0475862298892908,0.0453438134716831,0.0168175705136679,drowsy,FC6,subject_10
75,0.0260257645118657,0.0740290819223954,0.0161267191398088,0.0010177221094637,focused,F4,subject_10
76,0.0355380909942013,0.0269989024723244,0.0240122740236283,0.0140391856844736,unfocused,F4,subject_10
77,0.0363980393873088,0.045476436631647,0.0259489022284691,0.0141374173787555,drowsy,F4,subject_10
78,0.0169931236503443,0.1455802117217176,0.0104497434145142,0.0046181198022375,focused,F8,subject_10
79,0.0102490910238191,0.1451848115149098,0.0109404216691024,0.0054895653900578,unfocused,F8,subject_10
80,0.007568909649937,0.1109360130195337,0.0082924201709504,0.0026161306358632,drowsy,F8,subject_10
81,1.4865677138480853,194.0402519823729,0.7315129874542547,0.1449491208985522,focused,AF4,subject_10
82,4.651372633714102,494.09995368717045,2.054281687445796,0.3770780442345822,unfocused,AF4,subject_10
83,1.3955606512907948,29.95234397195208,0.6643860490868763,0.1148367454613666,drowsy,AF4,subject_10
84,0.1786081694626078,0.4370427304960502,0.1143821701230679,0.0541580737063747,focused,AF3,subject_20
85,0.062806329013602,0.0757456635640536,0.0469368352053642,0.0201251139762099,unfocused,AF3,subject_20
86,0.0830452847636556,0.099392826524094,0.0696131533141841,0.0279913758404452,drowsy,AF3,subject_20
87,1.503667944168839,18.477581964197142,0.5257695001660454,0.0713320680281106,focused,F7,subject_20
88,2.950138423802572,13.299601348880667,0.9773988232583918,0.0943697596783479,unfocused,F7,subject_20
89,4.201950185560675,32.11298774341195,1.0219208274463056,0.1384847992344664,drowsy,F7,subject_20
90,4.090404428086325,200.8526535643411,1.0971712519100136,0.2694373826958546,focused,F3,subject_20
91,2.802224898387177,14.405939367190632,1.122128838857449,0.0797181233575941,unfocused,F3,subject_20
92,7.383345107215147,47.26295900226516,1.556382973905576,0.0947892183955418,drowsy,F3,subject_20
93,0.1496056585517827,0.3365849005556765,0.0805664194409492,0.0310001020311143,focused,FC5,subject_20
94,0.121921207603663,0.1238149322200067,0.0920535431106823,0.0381400764424694,unfocused,FC5,subject_20
95,0.0897354257288188,0.1641685173942247,0.0908664327971531,0.063073673024975,drowsy,FC5,subject_20
96,0.0854335122258053,0.0916695576913575,0.0634416221293712,0.018468391079146,focused,T7,subject_20
97,0.0088462821457927,0.0296856125481279,0.004574652205179,0.0028516560014813,unfocused,T7,subject_20
98,0.0342486414931977,0.4532913894987399,0.0176818425208373,0.0068757504046503,drowsy,T7,subject_20
99,7.863716819329466,357.682572686389,2.8716397819669,0.4861624068033853,focused,P7,subject_20
100,3.726002573898109,84.30980251694147,1.5665950163660656,0.153330858437033,unfocused,P7,subject_20
101,12.591456490030549,17.848576706882262,1.7110475757432295,0.1011945455287301,drowsy,P7,subject_20
102,4.498663839787506,301.661531825609,1.4407072199228024,0.3010204952556228,focused,O1,subject_20
103,5.005098568913555,54.89855404678657,1.5239683660326235,0.1837453677063342,unfocused,O1,subject_20
104,15.996901352423276,20.945962386541623,1.8455603276676416,0.1284053694029202,drowsy,O1,subject_20
105,4.463469546033915,68.72507169067923,1.266562211425808,0.1319743552769701,focused,O2,subject_20
106,6.121860607895271,196.25571596821743,1.86460440275398,0.1531226683068839,unfocused,O2,subject_20
107,19.99634025322802,36.630137982775,2.46325613883747,0.1573752515322769,drowsy,O2,subject_20
108,3.1278095281943004,21.367180089870832,1.7814107038798388,0.7519363837523722,focused,P8,subject_20
109,3.721311805624208,17.550753969668666,1.4689126379447264,0.1433468922781497,unfocused,P8,subject_20
110,14.793654898024055,30.167672455483277,4.070879990827889,0.1513985484687622,drowsy,P8,subject_20
111,0.0005219472399136,0.0713636231631189,0.0001479013070118,4.1825286889310085e-05,focused,T8,subject_20
112,0.1141956600133798,0.6986239838402695,0.0781583523348467,0.0244688978773943,unfocused,T8,subject_20
113,0.0329684285459572,0.2882172447674574,0.0190600452740285,0.0057929999273515,drowsy,T8,subject_20
114,0.1787902269626122,1.5375213868297697,0.0926283455605602,0.0355053068809965,focused,FC6,subject_20
115,0.0668135117503347,0.0782988855355795,0.0381104804138799,0.029257018864663,unfocused,FC6,subject_20
116,0.0663434609681987,0.0971214138271265,0.0653028919404086,0.0187366055796418,drowsy,FC6,subject_20
117,0.0049976610903818,0.1540590293356912,0.004048897793831,0.0024318739695352,focused,F4,subject_20
118,0.0474525576586637,0.1390853810419276,0.0560732433204949,0.0329191037582396,unfocused,F4,subject_20
119,0.04020773324252,1.216368906894026,0.0314303560218576,0.0128343022997623,drowsy,F4,subject_20
120,0.0280209593548339,0.1294435207644952,0.0158940757872615,0.0058174143191878,focused,F8,subject_20
121,0.0605254988424016,0.0454593097446154,0.0568942983281678,0.0243369997171477,unfocused,F8,subject_20
122,0.0369102860093205,0.1088169494330617,0.0294702938650263,0.0138172620659784,drowsy,F8,subject_20
123,2.0527728806006467,109.9811647999756,0.8791120408687947,0.1671678974135372,focused,AF4,subject_20
124,1.8483727171248223,9.381963049931633,0.9776130836833504,0.0791999196154522,unfocused,AF4,subject_20
125,2.8406163868576693,55.30922000178764,0.704701466720145,0.1241485743831904,drowsy,AF4,subject_20
126,1.9023564581097363,2.8631010563491914,0.1710664781105852,0.0405499514534443,focused,AF3,subject_25
127,0.1533287813653239,0.2908323655713197,0.076744829373475,0.0228356787593525,unfocused,AF3,subject_25
128,0.0587154736175939,0.0951573519117634,0.0441467190016533,0.026475299578233,drowsy,AF3,subject_25
129,2.4707192483483222,13.38859967172559,0.7491474512714502,0.1145786552243409,focused,F7,subject_25
130,12.174855981463732,18.233982844172427,0.7691766164118575,0.0985714291762101,unfocused,F7,subject_25
131,2.8112582973576283,32.53707753535812,0.6730619615928751,0.106994343054884,drowsy,F7,subject_25
132,4.105365080768804,21.619897534209777,0.90448710169186,0.1751582573863438,focused,F3,subject_25
133,18.847786271314597,47.39558289722504,1.6744091855977237,0.1615279229688388,unfocused,F3,subject_25
134,3.183149829707886,63.4041929468159,0.9987341484079284,0.1302900123215337,drowsy,F3,subject_25
135,3.9060117627656568,55.51894664789478,0.5302917913244807,0.0733302967577219,focused,FC5,subject_25
